year;imd;objective;eg_objective
1960;22 May 1960;29 May 1960;16 Jun 1960
1961;21 May 1961;28 May 1961;10 Jun 1961
1962;21 May 1962;28 May 1962;11 Jun 1962
1963;4 Jun 1963;5 Jun 1963;14 Jun 1963
1964;9 Jun 1964;15 Jun 1964;25 Jun 1964
1965;6 Jun 1965;8 Jun 1965;17 Jun 1965
1966;6 Jun 1966;14 Jun 1966;19 Jun 1966
1967;13 Jun 1967;12 Jun 1967;24 Jun 1967
1968;11 Jun 1968;18 Jun 1968;27 Jun 1968
1969;28 May 1969;4 Jun 1969;16 Jun 1969
1970;28 May 1970;1 Jun 1970;11 Jun 1970
1971;31 May 1971;3 Jun 1971;12 Jun 1971
1972;19 Jun 1972;22 Jun 1972;27 Jun 1972
1973;6 Jun 1973;7 Jun 1973;15 Jun 1973
1974;1 Jun 1974;5 Jun 1974;24 Jun 1974
1975;2 Jun 1975;3 Jun 1975;15 Jun 1975
1976;1 Jun 1976;6 Jun 1976;18 Jun 1976
1977;7 Jun 1977;10 Jun 1977;19 Jun 1977
1978;29 May 1978;31 May 1978;13 Jun 1978
1979;16 Jun 1979;18 Jun 1979;24 Jun 1979
1980;4 Jun 1980;6 Jun 1980;17 Jun 1980
1981;1 Jun 1981;4 Jun 1981;20 Jun 1981
1982;1 Jun 1982;10 Jun 1982;20 Jun 1982
1983;16 Jun 1983;17 Jun 1983;25 Jun 1983
1984;4 Jun 1984;7 Jun 1984;10 Jun 1984
1985;30 May 1985;4 Jun 1985;14 Jun 1985
1986;5 Jun 1986;14 Jun 1986;19 Jun 1986
1987;4 Jun 1987;9 Jun 1987;22 Jun 1987
1988;5 Jun 1988;9 Jun 1988;12 Jun 1988
1989;4 Jun 1989;5 Jun 1989;10 Jun 1989
1990;20 May 1990;27 May 1990;5 Jun 1990
1991;4 Jun 1991;9 Jun 1991;19 Jun 1991
1992;6 Jun 1992;17 Jun 1992;24 Jun 1992
1993;4 Jun 1993;10 Jun 1993;22 Jun 1993
1994;2 Jun 1994;4 Jun 1994;15 Jun 1994
1995;10 Jun 1995;11 Jun 1995;21 Jun 1995
1996;7 Jun 1996;14 Jun 1996;20 Jun 1996
1997;11 Jun 1997;19 Jun 1997;25 Jun 1997
1998;7 Jun 1998;11 Jun 1998;16 Jun 1998
1999;1 Jun 1999;24 May 1999;9 Jun 1999
2000;3 Jun 2000;27 May 2000;7 Jun 2000
2001;6 Jun 2001;29 May 2001;11 Jun 2001
2002;3 Jun 2002;30 May 2002;21 Jun 2002
2003;11 Jun 2003;15 Jun 2003;20 Jun 2003
2004;23 May 2004;23 May 2004;5 Jun 2004
2005;7 Jun 2005;17 Jun 2005;21 Jun 2005
2006;27 May 2006;31 May 2006;10 Jun 2006
2007;8 Jun 2007;15 Jun 2007;15 Jun 2007
2008;31 May 2008;31 May 2008;15 Jun 2007
2009;23 May 2009;23 May 2009;15 Jun 2007
2010;31 May 2010;31 May 2010;15 Jun 2007
2011;29 May 2011;29 May 2011;15 Jun 2007
2012;5 Jun 2012;5 Jun 2012;15 Jun 2007
2013;1 Jun 2013;1 Jun 2013;15 Jun 2007
2014;6 Jun 2014;6 Jun 2014;15 Jun 2007
2015;5 Jun 2015;5 Jun 2015;15 Jun 2007
2016;8 Jun 2016;8 Jun 2016;15 Jun 2007
2017;30 May 2017;30 May 2017;15 Jun 2007
